Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%
01-01-2025,00:30:00,27,Maintenance,33.216,4.545,4.411,29.125,2.93,8.794,478.513,0.746,9.612
01-01-2025,00:31:00,42,Active,50.157,3.567,8.118,1.48,2.538,3.022,175.117,0.957,13.559
01-01-2025,00:32:00,28,Active,77.445,1.552,9.26,20.429,2.756,3.533,465.304,0.243,0.508
01-01-2025,00:33:00,16,Active,58.123,0.515,6.557,47.929,0.604,1.337,74.995,0.842,7.667
01-01-2025,00:34:00,15,Idle,77.219,4.707,4.951,8.398,0.289,9.24,309.312,0.19,2.897
01-01-2025,00:35:00,47,Active,68.355,3.587,7.489,2.454,0.549,4.081,445.248,0.042,4.993
01-01-2025,00:36:00,44,Active,55.736,4.504,5.722,29.639,1.714,8.067,264.548,0.857,8.654
01-01-2025,00:37:00,3,Active,80.087,1.03,7.618,48.554,0.886,4.754,454.494,0.547,5.803
01-01-2025,00:38:00,37,Idle,69.964,2.41,7.521,38.475,3.002,5.936,477.243,0.766,0.833
01-01-2025,00:39:00,7,Active,55.209,4.982,2.975,29.619,1.283,0.97,62.928,0.131,7.615
01-01-2025,00:40:00,21,Active,36.698,1.405,5.671,22.456,0.811,4.22,459.908,0.442,14.407
01-01-2025,00:41:00,9,Idle,51.976,4.494,2.93,48.645,4.858,8.657,241.375,0.906,4.086
01-01-2025,00:42:00,39,Active,33.527,3.885,4.431,29.156,3.353,3.58,135.155,0.033,14.77
01-01-2025,00:43:00,18,Active,58.998,1.017,6.142,3.303,2.401,7.124,428.221,0.141,7.843
01-01-2025,00:44:00,4,Active,33.289,3.078,9.048,4.597,1.526,1.714,288.663,0.379,9.67
01-01-2025,00:45:00,25,Active,76.224,3.132,1.588,33.577,0.073,9.841,373.034,0.204,9.417
01-01-2025,00:46:00,14,Active,51.363,1.865,8.175,15.105,4.046,6.714,317.721,0.44,8.945
01-01-2025,00:47:00,50,Maintenance,66.585,0.359,9.697,9.011,1.83,2.447,491.132,0.982,8.824
01-01-2025,00:48:00,9,Maintenance,48.295,2.615,3.339,26.929,2.843,7.183,79.607,0.505,4.044
01-01-2025,00:49:00,26,Active,82.936,0.631,3.012,46.629,0.478,7.127,221.685,0.661,5.189
01-01-2025,00:50:00,2,Active,59.492,2.341,5.607,6.846,2.922,9.315,406.847,0.633,4.729
01-01-2025,00:51:00,20,Active,74.868,3.998,4.374,40.138,3.457,2.321,147.797,0.078,3.273
01-01-2025,00:52:00,28,Active,69.617,4.211,2.062,34.46,2.455,2.037,210.398,0.105,7.5
01-01-2025,00:53:00,47,Idle,72.068,4.982,6.865,8.664,2.535,9.722,281.186,0.015,0.17
01-01-2025,00:54:00,7,Active,60.998,3.085,9.558,31.591,2.703,9.723,105.697,0.161,12.002
01-01-2025,00:55:00,44,Active,89.917,2.262,5.85,18.075,2.091,4.733,457.031,0.647,5.155
01-01-2025,00:56:00,8,Idle,36.069,2.397,2.982,41.009,4.09,9.319,197.316,0.446,10.683
01-01-2025,00:57:00,47,Active,60.486,3.072,6.726,3.569,2.349,3.178,429.971,0.706,2.235
01-01-2025,00:58:00,35,Active,51.958,4.478,7.218,5.422,2.506,7.021,418.69,0.795,8.159
01-01-2025,00:59:00,14,Idle,51.569,3.843,1.757,46.7,2.045,1.289,151.261,0.495,5.095
01-01-2025,01:00:00,17,Idle,75.257,2.381,1.958,13.095,3.588,3.895,157.344,0.907,5.219
01-01-2025,01:01:00,36,Idle,30.443,4.481,6.078,30.804,1.916,0.589,461.966,0.2,9.299
01-01-2025,01:02:00,50,Active,53.1,3.252,8.699,14.441,3.977,1.388,353.671,0.405,11.126
01-01-2025,01:03:00,40,Active,54.63,1.378,7.023,10.712,4.986,8.51,449.303,0.384,9.126
01-01-2025,01:04:00,4,Active,60.381,2.059,5.561,40.676,4.184,6.664,99.78,0.084,11.091
01-01-2025,01:05:00,2,Active,53.684,0.862,5.394,22.117,1.328,0.802,299.306,0.574,5.201
01-01-2025,01:06:00,6,Idle,47.623,3.148,2.285,28.017,1.921,8.191,228.254,0.201,12.701
01-01-2025,01:07:00,42,Active,63.021,2.312,6.197,36.796,3.36,5.109,393.672,0.756,5.719
01-01-2025,01:08:00,4,Active,84.463,2.097,7.473,35.81,0.41,1.617,395.769,0.053,0.14
01-01-2025,01:09:00,29,Active,49.635,4.349,8.487,15.855,4.292,8.584,288.525,0.991,13.788
01-01-2025,01:10:00,18,Active,36.338,0.131,8.032,43.324,0.84,8.077,435.828,0.639,12.943
01-01-2025,01:11:00,26,Active,60.002,1.226,9.694,38.914,0.931,4.995,192.225,0.35,4.924
01-01-2025,01:12:00,44,Idle,80.583,4.252,6.123,17.433,4.502,2.268,199.54,0.885,10.732
01-01-2025,01:13:00,34,Idle,38.25,1.909,4.373,49.889,1.429,6.025,279.52,0.815,13.967
01-01-2025,01:14:00,10,Active,80.93,1.364,8.404,44.382,1.811,3.953,318.549,0.899,12.612
01-01-2025,01:15:00,36,Active,72.766,3.811,5.554,27.693,0.332,0.368,138.442,0.757,6.587
01-01-2025,01:16:00,14,Idle,63.539,1.903,5.702,22.796,4.308,2.199,482.367,0.54,4.604
01-01-2025,01:17:00,31,Active,56.85,3.601,4.798,41.124,1.643,8.422,433.243,0.619,6.902
01-01-2025,01:18:00,48,Maintenance,55.168,4.373,7.7,47.083,0.715,2.51,348.469,0.675,8.02
01-01-2025,01:19:00,15,Active,73.549,4.901,4.279,31.237,2.652,5.91,362.265,0.289,1.266
01-01-2025,01:20:00,8,Idle,58.467,4.813,5.404,36.121,4.088,7.808,189.036,0.333,8.893
01-01-2025,01:21:00,14,Active,69.243,2.249,7.073,5.78,4.861,7.678,227.551,0.57,5.193
01-01-2025,01:22:00,23,Active,32.22,3.005,7.097,34.007,0.044,9.034,294.62,0.95,7.931
01-01-2025,01:23:00,40,Active,86.423,1.204,8.155,23.185,3.021,1.446,221.232,0.936,8.758
01-01-2025,01:24:00,21,Active,57.097,0.679,6.406,42.548,4.863,3.482,357.861,0.427,9.812
01-01-2025,01:25:00,16,Idle,84.838,3.766,7.845,44.622,1.127,4.516,408.657,0.612,3.385
01-01-2025,01:26:00,45,Active,67.818,3.587,2.594,17.415,2.016,7.985,99.408,0.415,4.673
01-01-2025,01:27:00,18,Active,69.664,2.293,4.128,23.621,0.454,1.092,440.704,0.454,3.831
01-01-2025,01:28:00,47,Active,41.769,4.445,3.878,11.187,2.143,7.54,298.369,0.376,8.734
01-01-2025,01:29:00,24,Idle,34.259,0.921,3.233,39.23,0.839,1.085,81.912,0.959,9.44
01-01-2025,01:30:00,26,Active,43.031,3.666,9.257,29.871,2.148,5.858,84.458,0.225,7.282
01-01-2025,01:31:00,25,Idle,62.104,3.253,6.008,28.389,3.006,7.326,61.523,0.875,3.034
01-01-2025,01:32:00,45,Active,32.142,2.394,2.401,15.246,4.042,6.921,394.91,0.339,12.241
01-01-2025,01:33:00,41,Active,82.68,4.745,2.872,29.523,2.199,0.728,369.831,0.287,0.762
01-01-2025,01:34:00,29,Maintenance,55.432,3.866,8.158,23.749,1.592,1.634,428.645,0.519,12.795
01-01-2025,01:35:00,15,Active,59.077,4.261,2.337,33.77,2.243,1.868,473.97,0.228,4.442
01-01-2025,01:36:00,45,Active,38.628,3.453,4.103,40.415,3.808,3.134,486.237,0.606,14.472
01-01-2025,01:37:00,1,Idle,81.532,3.905,6.072,17.919,0.541,3.811,363.795,0.33,10.783
01-01-2025,01:38:00,25,Active,69.582,4.721,7.794,3.281,4.637,9.599,253.663,0.372,12.224
01-01-2025,01:39:00,7,Active,35.322,3.06,4.164,2.474,4.516,5.931,486.574,0.079,6.587
01-01-2025,01:40:00,9,Idle,41.122,2.272,3.607,39.706,4.684,9.104,419.198,0.888,5.915
01-01-2025,01:41:00,24,Active,32.984,2.812,8.756,48.92,0.657,2.965,256.08,0.46,0.86
01-01-2025,01:42:00,1,Active,66.906,2.37,6.677,24.823,1.713,5.454,191.224,0.394,0.431
01-01-2025,01:43:00,44,Idle,37.431,4.308,5.105,12.617,2.755,5.561,464.717,0.271,14.551
01-01-2025,01:44:00,8,Active,59.075,4.96,8.176,27.16,0.282,7.711,337.657,0.479,11.958
01-01-2025,01:45:00,24,Idle,72.458,1.323,1.774,13.446,1.252,2.48,491.367,0.653,11.069
01-01-2025,01:46:00,11,Idle,61.604,1.523,7.936,4.753,0.951,9.534,281.053,0.067,9.086
01-01-2025,01:47:00,17,Idle,58.201,4.933,9.462,30.125,1.869,9.979,119.421,0.17,11.711
01-01-2025,01:48:00,8,Active,35.844,2.478,8.093,47.524,0.059,1.535,326.834,0.383,3.144
01-01-2025,01:49:00,35,Active,60.941,1.053,8.939,26.328,4.909,6.827,108.285,0.336,13.093
01-01-2025,01:50:00,35,Idle,34.315,3.289,2.468,37.301,0.646,4.047,182.501,0.101,13.128
01-01-2025,01:51:00,33,Active,30.833,1.046,1.924,5.252,1.532,2.088,136.213,0.405,0.868
01-01-2025,01:52:00,5,Idle,80.998,3.453,5.476,42.739,3.442,0.616,161.663,0.186,12.396
01-01-2025,01:53:00,42,Maintenance,85.79,3.869,5.426,23.11,0.04,1.168,333.719,0.481,2.654
01-01-2025,01:54:00,39,Active,30.135,3.21,3.356,41.532,0.125,2.855,83.831,0.161,0.913
01-01-2025,01:55:00,41,Active,68.609,1.318,1.993,28.128,3.064,0.67,237.429,0.758,10.588
01-01-2025,01:56:00,28,Active,43.907,0.138,3.967,28.871,4.121,4.276,471.058,0.292,5.076
01-01-2025,01:57:00,7,Active,57.861,1.351,9.855,2.671,1.001,1.526,138.691,0.946,12.784
01-01-2025,01:58:00,9,Idle,60.602,2.378,3.606,43.774,4.04,4.59,73.574,0.685,3.836
01-01-2025,01:59:00,8,Active,60.217,0.524,7.282,48.521,3.082,8.253,344.12,0.934,0.044
01-01-2025,02:00:00,12,Active,68.442,4.385,5.706,26.283,3.648,9.988,413.401,0.833,0.493
01-01-2025,02:01:00,34,Active,42.216,0.846,2.809,46.821,0.472,6.675,289.416,0.29,10.536
01-01-2025,02:02:00,33,Idle,75.074,3.145,5.082,27.698,1.912,2.292,442.329,0.292,7.584
01-01-2025,02:03:00,48,Active,43.3,1.669,3.428,34.699,0.103,6.954,61.328,0.442,5.842
01-01-2025,02:04:00,23,Active,83.683,2.981,4.967,23.29,1.728,1.709,322.308,0.819,11.795
01-01-2025,02:05:00,24,Active,34.544,1.008,7.379,7.696,0.411,7.168,325.664,0.56,0.477
01-01-2025,02:06:00,37,Active,34.462,2.121,6.332,34.503,0.446,6.093,64.065,0.399,2.046
01-01-2025,02:07:00,35,Active,35.28,3.655,3.031,41.43,0.487,2.203,309.536,0.274,12.414
01-01-2025,02:08:00,44,Idle,69.928,0.503,5.701,25.077,1.715,7.557,465.144,0.865,13.746
01-01-2025,02:09:00,40,Idle,36.289,2.91,6.807,27.987,0.445,4.401,191.844,0.064,2.708
01-01-2025,02:10:00,22,Active,41.449,3.585,8.415,49.525,2.923,8.171,374.639,0.737,0.702
01-01-2025,02:11:00,27,Idle,49.597,2.272,8.661,19.587,1.265,0.971,96.108,0.021,8.625
01-01-2025,02:12:00,35,Active,69.646,3.318,9.379,12.938,3.256,8.789,477.31,0.519,3.251
01-01-2025,02:13:00,1,Maintenance,67.27,4.467,9.497,45.694,3.791,1.197,294.367,0.493,0.316
01-01-2025,02:14:00,35,Active,82.744,2.604,2.385,44.584,4.876,5.423,152.151,0.744,11.184
01-01-2025,02:15:00,37,Active,38.506,0.526,5.966,39.97,0.416,6.895,455.63,0.548,10.738
01-01-2025,02:16:00,47,Active,39.964,3.582,4.944,28.871,2.464,2.958,415.462,0.39,6.285
01-01-2025,02:17:00,14,Maintenance,44.131,1.851,5.531,4.511,3.307,7.621,95.252,0.89,14.634
01-01-2025,02:18:00,3,Active,48.23,1.86,9.381,35.245,4.119,6.046,425.671,0.297,3.947
01-01-2025,02:19:00,1,Maintenance,72.619,4.942,2.286,18.172,0.699,8.916,315.56,0.008,13.659
01-01-2025,02:20:00,5,Maintenance,61.038,3.361,9.626,47.463,2.62,4.859,370.825,0.241,12.617
01-01-2025,02:21:00,26,Active,62.1,1.085,9.056,1.017,4.788,2.709,124.978,0.855,14.418
01-01-2025,02:22:00,14,Active,47.325,4.446,4.119,27.833,0.755,3.754,186.144,0.845,14.02
01-01-2025,02:23:00,39,Active,74.486,1.244,8.95,49.961,1.32,3.615,385.23,0.039,10.117
01-01-2025,02:24:00,27,Active,57.753,4.658,4.782,43.605,4.123,0.646,211.412,0.771,8.287
01-01-2025,02:25:00,9,Maintenance,58.145,0.829,4.191,11.783,0.088,6.101,301.053,0.255,5.445
01-01-2025,02:26:00,15,Idle,44.394,2.046,9.007,48.411,4.188,3.171,271.634,0.037,8.517
01-01-2025,02:27:00,15,Active,47.339,2.985,4.529,2.011,2.564,0.733,243.288,0.227,0.24
01-01-2025,02:28:00,26,Idle,61.969,0.53,3.649,49.302,4.363,9.028,400.543,0.978,5.383
01-01-2025,02:29:00,42,Idle,33.689,2.003,4.606,12.842,0.507,6.777,412.98,0.133,12.196
01-01-2025,02:30:00,13,Maintenance,86.4,1.755,4.677,44.929,2.382,6.133,290.688,0.017,6.568
01-01-2025,02:31:00,32,Active,62.637,2.189,9.859,12.664,0.69,2.256,405.359,0.671,5.256
01-01-2025,02:32:00,39,Active,68.192,1.913,7.451,48.832,0.037,9.226,290.362,0.067,0.527
01-01-2025,02:33:00,49,Maintenance,31.66,2.707,6.835,1.391,3.561,0.655,228.298,0.895,3.66
01-01-2025,02:34:00,32,Active,32.523,3.459,8.141,36.696,1.335,2.546,347.805,0.886,14.773
01-01-2025,02:35:00,4,Maintenance,87.731,0.147,9.976,13.672,2.595,1.577,416.967,0.261,7.493
01-01-2025,02:36:00,30,Active,39.447,0.792,5.144,19.208,0.429,7.492,371.985,0.482,5.022
01-01-2025,02:37:00,37,Maintenance,39.684,2.53,8.523,41.203,0.01,5.369,320.684,0.845,12.317
01-01-2025,02:38:00,23,Active,82.993,4.933,9.267,34.309,2.903,9.642,118.046,0.623,5.609
01-01-2025,02:39:00,39,Maintenance,77.793,0.743,3.136,27.835,3.887,5.718,136.729,0.887,7.142
01-01-2025,02:40:00,45,Active,69.289,2.561,9.491,35.687,0.088,3.34,333.907,0.832,6.502
01-01-2025,02:41:00,15,Active,72.016,2.329,3.838,37.702,0.986,5.861,360.213,0.182,0.126
01-01-2025,02:42:00,43,Active,31.321,0.26,2.66,3.147,4.236,3.209,426.09,0.317,1.474
01-01-2025,02:43:00,29,Active,70.997,2.239,8.103,39.861,0.05,1.343,444.819,0.991,9.221
01-01-2025,02:44:00,36,Active,43.699,0.746,6.235,29.284,2.947,1.048,499.62,0.789,4.476
01-01-2025,02:45:00,13,Maintenance,43.599,0.744,7.111,35.779,2.731,7.068,418.536,0.967,11.063
01-01-2025,02:46:00,32,Active,56.081,3.902,8.503,18.489,4.109,0.246,324.569,0.917,7.637
01-01-2025,02:47:00,7,Active,55.306,4.927,2.422,6.567,1.016,5.158,191.138,0.27,11.434
01-01-2025,02:48:00,22,Idle,61.799,1.774,6.673,35.933,1.725,3.244,278.098,0.935,5.995
01-01-2025,02:49:00,28,Active,73.709,0.904,7.24,39.539,2.924,2.111,137.375,0.384,12.199
01-01-2025,02:50:00,2,Active,83.949,4.581,4.829,33.663,1.297,5.07,334.412,0.178,14.891
01-01-2025,02:51:00,42,Idle,57.102,2.919,3.302,9.117,0.714,2.069,169.843,0.889,6.862
01-01-2025,02:52:00,45,Idle,65.71,3.212,6.659,49.657,1.575,1.905,341.228,0.699,14.34
01-01-2025,02:53:00,6,Active,59.662,4.733,9.627,49.304,3.236,5.694,232.541,0.815,3.967
01-01-2025,02:54:00,28,Active,30.148,2.339,7.68,41.615,1.023,3.692,238.744,0.111,0.249
01-01-2025,02:55:00,28,Idle,79.578,4.108,8.941,10.087,2.682,8.757,255.99,0.369,14.508
01-01-2025,02:56:00,44,Idle,74.148,1.181,6.373,10.919,2.956,7.272,451.201,0.855,6.516
01-01-2025,02:57:00,44,Active,87.573,1.643,7.313,11.905,4.991,0.097,276.669,0.339,4.402
01-01-2025,02:58:00,20,Idle,52.343,1.337,4.643,29.125,0.41,4.217,402.694,0.979,14.561
01-01-2025,02:59:00,30,Active,79.208,3.215,2.206,12.899,3.072,4.862,279.704,0.376,2.453
01-01-2025,03:00:00,11,Idle,73.66,1.413,7.186,19.774,2.864,3.714,440.809,0.353,14.35
01-01-2025,03:01:00,28,Active,37.005,3.314,7.964,37.121,2.689,4.775,452.144,0.275,9.986
01-01-2025,03:02:00,25,Idle,88.212,0.62,5.995,12.488,1.366,2.246,226.963,0.892,13.648
01-01-2025,03:03:00,39,Maintenance,39.194,2.698,4.575,32.366,4.653,2.402,242.303,0,6.673
01-01-2025,03:04:00,33,Idle,79.828,1.75,7.518,43.614,3.789,8.218,117.377,0.96,12.088
01-01-2025,03:05:00,1,Maintenance,58.421,3.656,2.346,3.546,0.689,4.211,336.161,0.232,13.736
01-01-2025,03:06:00,27,Active,66.039,1.151,4.925,23.384,4.84,9.966,416.075,0.168,0.783
01-01-2025,03:07:00,13,Active,60.95,4.849,3.365,17.892,3.13,4.917,73.329,0.35,4.59
01-01-2025,03:08:00,41,Idle,34.024,2.71,9.725,38.836,0.007,6.503,140.362,0.501,1.956
01-01-2025,03:09:00,3,Active,86.837,2.149,5.712,43.482,2.986,7.668,450.105,0.302,8.311
01-01-2025,03:10:00,39,Active,82.396,0.251,2.73,7.065,2.14,9.336,463.835,0.31,7.707
01-01-2025,03:11:00,6,Active,65.194,0.31,7.68,28.804,0.892,3.211,138.109,0.132,3.983
01-01-2025,03:12:00,8,Active,59.416,4.354,8.431,10,4.998,1.065,87.815,0.535,5.12
01-01-2025,03:13:00,27,Idle,49.961,1.698,7.052,9.778,3.891,0.539,367.562,0.648,13.089
01-01-2025,03:14:00,9,Active,40.488,0.492,5.012,26.268,4.445,7.319,443.187,0.998,7.796
01-01-2025,03:15:00,37,Idle,76.953,4.999,5.389,47.926,4.776,8.005,226.042,0.997,7.698
01-01-2025,03:16:00,33,Maintenance,61.006,3.791,3.439,41.335,2.606,6.852,74.76,0.287,4.556
01-01-2025,03:17:00,42,Active,70.709,1.963,6.624,38.206,0.501,3.098,114.616,0.614,9.763
01-01-2025,03:18:00,44,Idle,47.707,1.452,4.967,42.009,3.519,8.842,183.318,0.039,4.647
01-01-2025,03:19:00,24,Active,83.482,4.668,4.233,40.742,1.164,2.813,162.029,0.761,2.321
01-01-2025,03:20:00,15,Active,88.688,1.502,5.515,5.818,3.194,5.311,178.957,0.161,14.385
01-01-2025,03:21:00,32,Idle,69.66,4.933,9.371,41.562,3.968,8.036,395.25,0.397,10.712
01-01-2025,03:22:00,32,Active,81.256,4.861,8.552,48.108,2.114,5.803,103.238,0.042,12.033
01-01-2025,03:23:00,24,Idle,44.055,3.722,8.472,30.288,0.483,2.637,322.91,0.48,11.308
01-01-2025,03:24:00,41,Active,88.334,4.104,7.652,13.747,2.039,9.829,116.993,0.778,14.735
01-01-2025,03:25:00,49,Active,43.635,0.346,3.203,9.328,2.885,8.148,335.871,0.225,10.815
01-01-2025,03:26:00,49,Active,43.711,1.783,4.091,2.608,3.051,3.827,152.861,0.75,1.275
01-01-2025,03:27:00,12,Active,85.229,0.947,5.773,49.594,0.276,6.966,306.916,0.996,3.604
01-01-2025,03:28:00,39,Active,47.113,0.977,1.743,48.28,4.656,6.967,414.368,0.555,1.142
01-01-2025,03:29:00,2,Active,51.833,0.362,2.621,21.936,1.478,8.121,365.145,0.707,12.63
01-01-2025,03:30:00,3,Active,81.198,1.887,6.947,35.659,4.27,2.611,406.789,0.503,12.512
01-01-2025,03:31:00,49,Active,81.451,0.534,2.494,47.82,4.987,3.551,364.647,0.655,0.257
01-01-2025,03:32:00,37,Idle,35.009,2.869,6.421,32.076,2.174,1.199,100.079,0.725,8.336
01-01-2025,03:33:00,49,Idle,49.19,2.016,9.475,34.628,3.82,0.436,190.562,0.238,10.242
01-01-2025,03:34:00,17,Active,44.471,2.305,4.942,17.051,0.583,2.91,354.864,0.313,3.892
01-01-2025,03:35:00,49,Active,83.891,0.49,2.337,7.143,4.279,2.119,282.974,0.919,0.833
01-01-2025,03:36:00,2,Active,47.774,3.263,3.303,24.968,3.651,2.009,100.768,0.312,1.139
01-01-2025,03:37:00,2,Active,44.253,4.222,3.607,49.388,3.502,4.134,267.86,0.119,14.606
01-01-2025,03:38:00,28,Active,47.646,1.604,8.167,17.673,3.046,9.33,487.267,0.834,14.929
01-01-2025,03:39:00,23,Idle,82.549,0.691,7.548,49.888,2.557,6.103,405.572,0.107,9.99
01-01-2025,03:40:00,37,Active,41.433,0.462,9.918,21,2.247,6.448,468.745,0.196,11.266
01-01-2025,03:41:00,32,Active,41.072,1.438,8.182,40.85,2.564,1.562,132.767,0.02,5.946
01-01-2025,03:42:00,33,Active,80.27,2.255,7.766,38.456,1.598,2.294,187.86,0.306,14.455
01-01-2025,03:43:00,1,Active,40.316,1.533,9.935,45.321,4.753,7.42,432.741,0.04,2.558
01-01-2025,03:44:00,19,Active,60.164,2.155,5.095,3.324,1.74,2.272,118.916,0.786,13.693
01-01-2025,03:45:00,2,Active,59.005,2.079,6.996,32.805,3.849,2.206,242.663,0.547,9.619
01-01-2025,03:46:00,44,Active,30.658,2.319,9.765,48.343,3.898,6.716,257.276,0.805,0.976
01-01-2025,03:47:00,26,Active,66.5,2.645,3.734,21.492,3.999,0.95,289.14,0.68,8.206
01-01-2025,03:48:00,32,Maintenance,70.307,2.942,9.26,39.285,2.257,3.786,442.609,0.653,9.526
01-01-2025,03:49:00,6,Active,42.13,3.494,2.497,3.057,1.788,5.075,263.986,0.794,8.012
01-01-2025,03:50:00,32,Active,64.649,2.622,9.541,22.298,4.91,1.015,370.591,0.032,14.492
01-01-2025,03:51:00,4,Active,38.644,3.249,4.763,35.331,2.297,2.814,122.551,0.601,4.427
01-01-2025,03:52:00,11,Idle,74.447,2.986,8.128,36.056,3.139,5.035,141.949,0.864,11.09
01-01-2025,03:53:00,17,Active,62.142,1.201,3.753,7.637,2.968,7.825,178.793,0.957,9.973
01-01-2025,03:54:00,38,Active,54.656,4.835,7.74,44.536,4.009,4.823,202.763,0.731,2.546
01-01-2025,03:55:00,24,Maintenance,87.691,4.396,6.459,1.908,2.74,9.789,316.207,0.767,14.409
01-01-2025,03:56:00,5,Active,87.19,3.968,3.909,8.516,0.063,3.708,290.849,0.192,5.76
01-01-2025,03:57:00,34,Idle,32.284,4.885,9.992,37.614,4.009,2.247,470.094,0.373,1.711
01-01-2025,03:58:00,6,Idle,47.911,0.593,7.216,48.118,4.859,1.342,181.626,0.014,12.534
01-01-2025,03:59:00,22,Active,44.413,0.655,9.409,26.748,3.161,1.9,245.212,0.775,8.269
01-01-2025,04:00:00,11,Active,87.19,3.631,5.144,45.729,1.837,7.475,321.158,0.302,10.76
01-01-2025,04:01:00,48,Active,41.038,3.557,3.885,37.754,3.447,2.073,271.142,0.144,0.023
01-01-2025,04:02:00,16,Active,33.283,2.334,7.576,34.786,0.092,9.869,366.379,0.412,3.315
01-01-2025,04:03:00,33,Active,42.116,3.028,1.874,16.67,0.392,5.267,151.831,0.997,7.625
01-01-2025,04:04:00,9,Active,75.138,2.407,8.357,9.248,1.83,0.784,253.253,0.609,8.651
01-01-2025,04:05:00,6,Active,60.842,2.497,7.603,45.943,3.864,1.213,441.336,0.412,5.476
01-01-2025,04:06:00,16,Active,88.037,3.134,5.707,33.277,4.576,6.861,66.503,0.303,10.719
01-01-2025,04:07:00,29,Active,78.705,3.675,5.74,36.701,4.789,8.197,351.953,0.904,11.621
01-01-2025,04:08:00,3,Active,41.829,3.524,9.919,16.124,4.071,6.06,154.469,0.189,6.297
01-01-2025,04:09:00,20,Active,52.66,4.842,3.286,7.463,4.592,5.811,84.712,0.22,13.873
01-01-2025,04:10:00,36,Active,78.901,4.204,4.811,25.204,4.365,1.201,370.374,0.304,13.699
01-01-2025,04:11:00,19,Active,74.157,0.492,6.255,1.674,3.059,9.037,393.836,0.55,14.131
